column_position,column,dtype,semantic_group,report_aliases,is_priority_column,is_transparency_column,non_null_count,null_count,null_pct,nunique_excluding_null
81,total_interes_oferentes,int64,numeric,none,False,False,429541,0,0.0,224
82,flag_hubo_participacion,int8,binary_numeric,none,False,False,429541,0,0.0,2
83,flag_hubo_competencia_minima,int8,binary_numeric,none,False,False,429541,0,0.0,2
84,flag_datos_competencia_disponibles,int8,binary_numeric,none,False,False,429541,0,0.0,1
85,intensidad_competencia_normalizada,float64,numeric,none,False,False,429541,0,0.0,7
86,score_completitud,float64,numeric,none,True,True,429541,0,0.0,9
87,score_trazabilidad_base,float64,numeric,none,False,True,429541,0,0.0,2
88,score_trazabilidad,float64,numeric,none,True,True,429541,0,0.0,4
89,score_temporal,float64,numeric,none,True,True,429541,0,0.0,7
90,score_competencia,float64,numeric,none,True,True,429541,0,0.0,8
91,transparency_score,float64,numeric,none,True,True,429541,0,0.0,222
92,riesgo_baja_transparencia,int8,binary_numeric,none,False,True,429541,0,0.0,2
93,nivel_riesgo_transparencia,string,categorical,none,True,True,429541,0,0.0,3
94,flag_evidencia_completitud_suficiente,int8,binary_numeric,none,False,True,429541,0,0.0,1
95,flag_evidencia_trazabilidad_suficiente,int8,binary_numeric,none,False,True,429541,0,0.0,1
96,flag_evidencia_temporal_suficiente,int8,binary_numeric,none,False,True,429541,0,0.0,2
97,flag_evidencia_competencia_suficiente,int8,binary_numeric,none,False,True,429541,0,0.0,1
98,evidence_coverage,float64,numeric,none,True,True,429541,0,0.0,2
99,margin_to_threshold,float64,numeric,none,True,True,429541,0,0.0,214
100,confianza_label,string,categorical,none,True,True,429541,0,0.0,3
