column,non_null_count,null_count,null_pct,nunique,is_binary_like,count,mean,std,min,p01,p05,p25,p50,median,p75,p95,p99,max,iqr,lower_bound_iqr,upper_bound_iqr,outlier_count_iqr,outlier_pct_iqr,zero_count,zero_pct
score_trazabilidad,429541,0,0.0,4,False,429541,0.9965634246789014,0.033298846037257114,0.4,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4625,1.0767,0,0.0
score_trazabilidad_base,429541,0,0.0,2,False,429541,0.9991618960704566,0.0144507456674527,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1440,0.3352,0,0.0
total_interes_oferentes,429541,0,0.0,224,False,429541,0.7728133053654948,5.508337228020282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,485.0,0.0,0.0,0.0,63559,14.797,365982,85.203
total_respuestas,429541,0,0.0,149,False,429541,0.5268554107756884,3.2863712822500974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,231.0,0.0,0.0,0.0,62103,14.458,367438,85.542
transparency_score,429541,0,0.0,222,False,429541,0.6408916077719417,0.1295868197219653,0.34750000000000003,0.5,0.545,0.5900000000000001,0.5900000000000001,0.5900000000000001,0.5900000000000001,0.9550000000000001,1.0,1.0,0.0,0.5900000000000001,0.5900000000000001,173720,40.4432,0,0.0
visualizaciones_del,429541,0,0.0,431,False,429541,6.261751497528757,26.27310059378052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,125.0,617.0,0.0,0.0,0.0,93629,21.7975,335912,78.2025
flag_coherencia_temporal_global,429541,0,0.0,2,True,429541,0.16651029820203425,0.37253851062041066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,71523,16.651,358018,83.349
flag_datos_competencia_disponibles,429541,0,0.0,1,True,429541,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0.0,0,0.0
flag_evidencia_competencia_suficiente,429541,0,0.0,1,True,429541,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0.0,0,0.0
flag_evidencia_completitud_suficiente,429541,0,0.0,1,True,429541,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0.0,0,0.0
