Model,Threshold,Accuracy,Precision,Recall,F1_score,ROC_AUC,PR_AUC,Leakage_warning
LogisticRegression_early,0.26999999999999996,0.9911882478930949,0.9955144420260015,0.9933668902161631,0.9944395066806719,0.9996719482137031,0.9999151280271175,"Posible leakage: metrica(s) > 0.995: ROC_AUC, PR_AUC"
XGBoost_early,0.285,0.9890231410345951,0.9928275983455074,0.9933375401728718,0.9930825037961869,0.9995650440059209,0.9998874217581365,"Posible leakage: metrica(s) > 0.995: ROC_AUC, PR_AUC"
LightGBM_early,0.38999999999999996,0.9890464217535038,0.9953707798909037,0.9907987614281731,0.993079508431821,0.9995482389790226,0.9998830962812748,"Posible leakage: metrica(s) > 0.995: ROC_AUC, PR_AUC"
RandomForest_early,0.6449999999999999,0.9884993248591516,0.9926204134329015,0.9928826145018564,0.9927514966545369,0.9994838910949173,0.9998627951612077,"Posible leakage: metrica(s) > 0.995: ROC_AUC, PR_AUC"
CatBoost_early,0.32499999999999996,0.9881850351538856,0.9924584776101883,0.9926478141555258,0.9925531368535352,0.9995012380196033,0.9998708912912423,"Posible leakage: metrica(s) > 0.995: ROC_AUC, PR_AUC"
