Model,Threshold,Accuracy,Precision,Recall,F1_score,ROC_AUC,PR_AUC,Leakage_warning
XGBoost_strict,0.285,0.9982888671602179,0.998855499471769,0.9989874235064496,0.9989214571334238,0.999985433605731,0.9999962018438371,"Posible leakage: metrica(s) > 0.995: F1_score, ROC_AUC, PR_AUC"
CatBoost_strict,0.30999999999999994,0.9982655864413094,0.999089814733257,0.9987232731168278,0.9989065103000858,0.9999860217630859,0.9999963543700611,"Posible leakage: metrica(s) > 0.995: F1_score, ROC_AUC, PR_AUC"
RandomForest_strict,0.41999999999999993,0.9982423057224007,0.9984604557051113,0.9993249490042998,0.9988925153104258,0.9999499884514229,0.9999792220774834,"Posible leakage: metrica(s) > 0.995: F1_score, ROC_AUC, PR_AUC"
LightGBM_strict,0.21999999999999997,0.9982190250034921,0.9984896474866561,0.9992662489177172,0.9988777972553708,0.9999845873034695,0.9999959795250946,"Posible leakage: metrica(s) > 0.995: F1_score, ROC_AUC, PR_AUC"
DecisionTree_strict,0.145,0.9981841039251292,0.9982411655209814,0.9994716992207564,0.9988560533841754,0.998841932624105,0.9994033178698087,"Posible leakage: metrica(s) > 0.995: F1_score, ROC_AUC, PR_AUC"
GradientBoosting_strict,0.5049999999999999,0.998137542487312,0.9979491085946999,0.9997064995670869,0.9988270310690146,0.9999812454627677,0.9999949919583356,"Posible leakage: metrica(s) > 0.995: F1_score, ROC_AUC, PR_AUC"
LogisticRegression_strict,0.25499999999999995,0.9979512967360432,0.998606159308655,0.9988113232467017,0.9987087307410125,0.9999576072369359,0.9999890341297586,"Posible leakage: metrica(s) > 0.995: F1_score, ROC_AUC, PR_AUC"
