metric,normal_model,strict_model,early_model,normal_value,strict_value,early_value,early_vs_strict_absolute_drop,early_vs_strict_relative_drop,early_vs_normal_absolute_drop,early_vs_normal_relative_drop
F1_score,RandomForest,XGBoost_strict,LogisticRegression_early,0.9989440492777004,0.9989214571334238,0.994439506680672,0.004481950452751793,0.004486789647720169,0.0045045425970283715,0.004509304200055488
Recall,RandomForest,XGBoost_strict,LogisticRegression_early,0.9995597493506304,0.9989874235064496,0.9933668902161632,0.005620533290286445,0.005626230278814073,0.00619285913446721,0.0061955867455551665
Precision,RandomForest,XGBoost_strict,LogisticRegression_early,0.9983291072449324,0.998855499471769,0.9955144420260016,0.0033410574457674036,0.0033448856691826556,0.002814665218930812,0.002819376094020121
ROC_AUC,RandomForest,XGBoost_strict,LogisticRegression_early,0.9999793356034912,0.999985433605731,0.9996719482137032,0.00031348539202780135,0.00031348995844613547,0.000307387389787972,0.00030739374189413883
PR_AUC,RandomForest,XGBoost_strict,LogisticRegression_early,0.99999441161247,0.9999962018438372,0.9999151280271176,8.107381671962344e-05,8.107412465180963e-05,7.928358535247426e-05,7.928402842235003e-05
