column,reason,matched_pattern,allowed_early_feature
flag_recepcion_antes_apertura,no pertenece a la lista de variables tempranas permitidas | patron prohibido: flag,flag,False
flag_ventana_recepcion_razonable,no pertenece a la lista de variables tempranas permitidas | patron prohibido: flag,flag,False
flag_ventana_apertura_razonable,no pertenece a la lista de variables tempranas permitidas | patron prohibido: flag,flag,False
flag_incoherencia_temporal_observada,no pertenece a la lista de variables tempranas permitidas | patron prohibido: temporal|coherencia|flag,temporal|coherencia|flag,False
flag_coherencia_temporal_global,no pertenece a la lista de variables tempranas permitidas | patron prohibido: temporal|coherencia|flag,temporal|coherencia|flag,False
total_respuestas,no pertenece a la lista de variables tempranas permitidas | patron prohibido: total|respuestas,total|respuestas,False
total_interes_oferentes,no pertenece a la lista de variables tempranas permitidas | patron prohibido: total,total,False
flag_datos_competencia_disponibles,no pertenece a la lista de variables tempranas permitidas | patron prohibido: competencia|flag,competencia|flag,False
flag_hubo_participacion,no pertenece a la lista de variables tempranas permitidas | patron prohibido: flag,flag,False
flag_hubo_competencia_minima,no pertenece a la lista de variables tempranas permitidas | patron prohibido: competencia|flag,competencia|flag,False
flag_sin_competencia_observada,no pertenece a la lista de variables tempranas permitidas | patron prohibido: competencia|flag,competencia|flag,False
intensidad_competencia_normalizada,no pertenece a la lista de variables tempranas permitidas | patron prohibido: competencia,competencia,False
score_completitud,no pertenece a la lista de variables tempranas permitidas | patron prohibido: score|completitud,score|completitud,False
score_trazabilidad_base,no pertenece a la lista de variables tempranas permitidas | patron prohibido: score|trazabilidad,score|trazabilidad,False
score_trazabilidad,no pertenece a la lista de variables tempranas permitidas | patron prohibido: score|trazabilidad,score|trazabilidad,False
score_temporal,no pertenece a la lista de variables tempranas permitidas | patron prohibido: score|temporal,score|temporal,False
score_competencia,no pertenece a la lista de variables tempranas permitidas | patron prohibido: score|competencia,score|competencia,False
transparency_score,no pertenece a la lista de variables tempranas permitidas | patron prohibido: score|transparency,score|transparency,False
nivel_riesgo_transparencia,no pertenece a la lista de variables tempranas permitidas | patron prohibido: riesgo,riesgo,False
flag_evidencia_completitud_suficiente,no pertenece a la lista de variables tempranas permitidas | patron prohibido: completitud|flag,completitud|flag,False
flag_evidencia_trazabilidad_suficiente,no pertenece a la lista de variables tempranas permitidas | patron prohibido: trazabilidad|flag,trazabilidad|flag,False
flag_evidencia_temporal_suficiente,no pertenece a la lista de variables tempranas permitidas | patron prohibido: temporal|flag,temporal|flag,False
flag_evidencia_competencia_suficiente,no pertenece a la lista de variables tempranas permitidas | patron prohibido: competencia|flag,competencia|flag,False
target_dimension_count_v2,no pertenece a la lista de variables tempranas permitidas | patron prohibido: count,count,False
evidence_coverage_v2,no pertenece a la lista de variables tempranas permitidas | patron prohibido: evidence|coverage,evidence|coverage,False
riesgo_baja_transparencia_v2,no pertenece a la lista de variables tempranas permitidas | patron prohibido: riesgo,riesgo,False
target_confidence_v2,no pertenece a la lista de variables tempranas permitidas,,False
