Model,Threshold,Accuracy,Precision,Recall,F1_score,ROC_AUC,PR_AUC,Leakage_warning
RandomForest,0.41999999999999993,0.9983237882385808,0.9983291072449324,0.9995597493506303,0.9989440492777004,0.9999793356034913,0.99999441161247,"Posible leakage: metrica(s) > 0.995: F1_score, ROC_AUC, PR_AUC"
CatBoost,0.185,0.9983121478791265,0.9981830436948685,0.9996918245454413,0.9989368644098864,0.9999861741718388,0.9999963947750321,"Posible leakage: metrica(s) > 0.995: F1_score, ROC_AUC, PR_AUC"
LightGBM,0.25499999999999995,0.9983005075196723,0.9986213976681089,0.9992368988744258,0.998929053459304,0.9999860110242578,0.9999963523607001,"Posible leakage: metrica(s) > 0.995: F1_score, ROC_AUC, PR_AUC"
XGBoost,0.20999999999999996,0.9982423057224007,0.9984458389537271,0.9993396240259454,0.9988925315555165,0.9999852741754367,0.9999961610922679,"Posible leakage: metrica(s) > 0.995: F1_score, ROC_AUC, PR_AUC"
GradientBoosting,0.5349999999999999,0.9981724635656749,0.9981681223987338,0.999530399307339,0.9988487963689424,0.9999822425216546,0.9999951531883623,"Posible leakage: metrica(s) > 0.995: F1_score, ROC_AUC, PR_AUC"
DecisionTree,0.145,0.9981259021278577,0.998211825403805,0.9994276741558193,0.9988193797710624,0.999112157886183,0.9995458309918278,"Posible leakage: metrica(s) > 0.995: F1_score, ROC_AUC, PR_AUC"
LogisticRegression,0.22499999999999998,0.9978698142198631,0.9985767526484138,0.9987379481384735,0.9986573438887136,0.9999592378866814,0.9999894384865984,"Posible leakage: metrica(s) > 0.995: F1_score, ROC_AUC, PR_AUC"
