metric,normal_model,strict_model,normal_value,strict_value,absolute_drop,relative_drop
F1_score,RandomForest,XGBoost_strict,0.9989440492777004,0.9989214571334238,2.259214427657863e-05,2.26160256852365e-05
ROC_AUC,RandomForest,XGBoost_strict,0.9999793356034912,0.999985433605731,-6.09800223982937e-06,-6.0981282539695715e-06
PR_AUC,RandomForest,XGBoost_strict,0.99999441161247,0.9999962018438372,-1.7902313671491754e-06,-1.7902413717117326e-06
