iter	Passed	Remaining
480	8698	9386
481	8714	9365
482	8730	9345
483	8746	9324
484	8762	9304
485	8778	9283
486	8793	9263
487	8810	9243
488	8827	9224
489	8843	9204
490	8859	9184
491	8875	9164
492	8891	9144
493	8908	9124
494	8924	9104
495	8940	9085
496	8956	9065
497	8973	9045
498	8990	9026
499	9006	9006
500	9021	8985
501	9037	8965
502	9053	8945
503	9069	8925
504	9084	8905
505	9101	8885
506	9116	8865
507	9132	8845
508	9151	8827
509	9167	8808
510	9184	8788
511	9202	8770
512	9219	8752
513	9236	8733
514	9254	8715
515	9272	8697
516	9289	8678
517	9306	8659
518	9323	8641
519	9341	8622
520	9358	8604
521	9376	8585
522	9392	8566
523	9408	8547
524	9425	8527
525	9442	8508
526	9458	8489
527	9475	8470
528	9491	8451
529	9508	8431
530	9526	8413
531	9541	8393
532	9558	8374
533	9574	8354
534	9590	8335
535	9606	8316
536	9622	8296
537	9639	8277
538	9657	8259
539	9672	8239
540	9688	8220
541	9704	8200
542	9720	8180
543	9736	8161
544	9753	8142
545	9769	8123
546	9785	8104
547	9801	8084
548	9817	8065
549	9833	8045
550	9850	8026
551	9865	8006
552	9883	7988
553	9916	7982
554	9937	7967
555	9952	7948
556	9969	7928
557	9986	7910
558	10002	7891
559	10018	7871
560	10034	7852
561	10050	7832
562	10066	7813
563	10082	7794
564	10099	7775
565	10115	7756
566	10131	7737
567	10147	7718
568	10163	7698
569	10179	7679
570	10196	7660
571	10213	7642
572	10229	7622
573	10245	7603
574	10262	7585
575	10278	7565
576	10295	7548
577	10311	7528
578	10327	7509
579	10343	7489
580	10359	7470
581	10374	7451
582	10390	7432
583	10406	7413
584	10422	7393
585	10438	7374
586	10454	7355
587	10470	7336
588	10487	7317
589	10503	7299
590	10519	7280
591	10535	7260
592	10550	7241
593	10567	7222
594	10583	7203
595	10598	7184
596	10614	7165
597	10632	7147
598	10647	7128
599	10663	7108
600	10679	7089
601	10694	7070
602	10710	7051
603	10726	7032
604	10742	7013
605	10758	6994
606	10774	6976
607	10791	6957
608	10807	6938
609	10823	6919
610	10838	6900
611	10855	6882
612	10871	6863
613	10887	6844
614	10904	6826
615	10920	6807
616	10936	6788
617	10951	6769
618	10967	6750
619	10983	6731
620	10999	6712
621	11015	6694
622	11031	6675
623	11048	6657
624	11063	6638
625	11079	6619
626	11095	6600
627	11110	6581
628	11127	6562
629	11142	6543
630	11158	6525
631	11175	6507
632	11191	6488
633	11206	6469
634	11222	6450
635	11238	6432
636	11255	6413
637	11271	6395
638	11287	6376
639	11303	6358
640	11320	6340
641	11337	6322
642	11355	6304
643	11372	6286
644	11390	6268
645	11406	6250
646	11423	6232
647	11440	6214
648	11457	6196
649	11474	6178
650	11491	6160
651	11506	6141
652	11522	6123
653	11539	6104
654	11555	6086
655	11570	6067
656	11586	6049
657	11603	6031
658	11620	6013
659	11636	5994
660	11652	5975
661	11667	5957
662	11684	5939
663	11700	5920
664	11715	5901
665	11732	5883
666	11748	5865
667	11764	5847
668	11780	5828
669	11796	5810
670	11812	5791
671	11827	5773
672	11843	5754
673	11859	5736
674	11876	5718
675	11892	5699
676	11908	5681
677	11923	5663
678	11939	5644
679	11956	5626
680	11972	5608
681	11989	5590
682	12005	5572
683	12021	5553
684	12036	5535
685	12053	5516
686	12068	5498
687	12085	5480
688	12101	5462
689	12117	5444
690	12135	5426
691	12152	5409
692	12168	5390
693	12184	5372
694	12201	5354
695	12216	5336
696	12233	5318
697	12249	5299
698	12265	5281
699	12281	5263
700	12297	5245
701	12312	5226
702	12328	5208
703	12343	5190
704	12360	5172
705	12377	5154
706	12394	5136
707	12409	5118
708	12426	5100
709	12442	5082
710	12458	5064
711	12474	5045
712	12490	5027
713	12505	5009
714	12521	4991
715	12537	4972
716	12553	4955
717	12571	4937
718	12586	4919
719	12602	4900
720	12617	4882
721	12633	4864
722	12649	4846
723	12665	4828
724	12681	4810
725	12697	4792
726	12715	4774
727	12731	4756
728	12747	4738
729	12764	4721
730	12781	4703
731	12797	4685
732	12813	4667
733	12829	4649
734	12845	4631
735	12861	4613
736	12877	4595
737	12893	4577
738	12909	4559
739	12925	4541
740	12941	4523
741	12956	4505
742	12973	4487
743	12990	4469
744	13005	4451
745	13021	4433
746	13037	4415
747	13053	4397
748	13069	4379
749	13085	4361
750	13101	4343
751	13117	4326
752	13133	4308
753	13149	4290
754	13165	4272
755	13181	4254
756	13198	4236
757	13214	4218
758	13230	4200
759	13245	4182
760	13262	4165
761	13278	4147
762	13294	4129
763	13310	4111
764	13325	4093
765	13341	4075
766	13357	4057
767	13373	4039
768	13389	4022
769	13405	4004
770	13421	3986
771	13438	3968
772	13454	3951
773	13471	3933
774	13488	3916
775	13505	3898
776	13521	3880
777	13539	3863
778	13556	3845
779	13572	3828
780	13589	3810
781	13607	3793
782	13625	3776
783	13641	3758
784	13657	3740
785	13673	3722
786	13690	3705
787	13706	3687
788	13722	3669
789	13739	3652
790	13755	3634
791	13771	3616
792	13787	3598
793	13803	3581
794	13819	3563
795	13835	3545
796	13852	3528
797	13868	3510
798	13885	3493
799	13903	3475
800	13919	3458
801	13937	3440
802	13954	3423
803	13972	3406
804	13989	3388
805	14010	3372
806	14031	3355
807	14052	3339
808	14069	3321
809	14086	3304
810	14102	3286
811	14118	3268
812	14135	3251
813	14151	3233
814	14167	3215
815	14183	3198
816	14199	3180
817	14216	3163
818	14232	3145
819	14248	3127
820	14264	3110
821	14280	3092
822	14296	3074
823	14311	3056
824	14328	3039
825	14344	3021
826	14362	3004
827	14377	2986
828	14393	2969
829	14409	2951
830	14426	2933
831	14442	2916
832	14457	2898
833	14473	2880
834	14489	2863
835	14506	2845
836	14522	2828
837	14537	2810
838	14553	2792
839	14569	2775
840	14584	2757
841	14600	2739
842	14616	2722
843	14632	2704
844	14648	2686
845	14664	2669
846	14680	2651
847	14696	2634
848	14712	2616
849	14727	2599
850	14743	2581
851	14759	2563
852	14776	2546
853	14792	2528
854	14808	2511
855	14824	2493
856	14840	2476
857	14856	2458
858	14872	2441
859	14888	2423
860	14904	2406
861	14921	2388
862	14937	2371
863	14953	2353
864	14970	2336
865	14986	2318
866	15002	2301
867	15018	2283
868	15034	2266
869	15051	2249
870	15067	2231
871	15083	2214
872	15099	2196
873	15114	2179
874	15130	2161
875	15147	2144
876	15164	2126
877	15182	2109
878	15199	2092
879	15215	2074
880	15231	2057
881	15246	2039
882	15262	2022
883	15278	2004
884	15294	1987
885	15310	1969
886	15326	1952
887	15343	1935
888	15359	1917
889	15376	1900
890	15392	1883
891	15409	1865
892	15426	1848
893	15442	1830
894	15458	1813
895	15474	1796
896	15491	1778
897	15507	1761
898	15523	1744
899	15539	1726
900	15555	1709
901	15571	1691
902	15587	1674
903	15604	1657
904	15621	1639
905	15638	1622
906	15655	1605
907	15671	1587
908	15689	1570
909	15706	1553
910	15722	1536
911	15739	1518
912	15756	1501
913	15773	1484
914	15789	1466
915	15805	1449
916	15821	1432
917	15837	1414
918	15853	1397
919	15868	1379
920	15884	1362
921	15900	1345
922	15916	1327
923	15932	1310
924	15948	1293
925	15964	1275
926	15981	1258
927	15997	1241
928	16014	1223
929	16030	1206
930	16045	1189
931	16061	1171
932	16077	1154
933	16093	1137
934	16108	1119
935	16124	1102
936	16140	1085
937	16157	1067
938	16173	1050
939	16189	1033
940	16206	1016
941	16222	998
942	16237	981
943	16253	964
944	16269	946
945	16285	929
946	16301	912
947	16317	895
948	16331	877
949	16347	860
950	16362	843
951	16377	825
952	16393	808
953	16408	791
954	16423	773
955	16440	756
956	16457	739
957	16473	722
958	16488	704
959	16503	687
960	16518	670
961	16533	653
962	16548	635
963	16565	618
964	16580	601
965	16596	584
966	16611	566
967	16626	549
968	16641	532
969	16656	515
970	16673	497
971	16689	480
972	16706	463
973	16723	446
974	16739	429
975	16757	412
976	16778	395
977	16802	377
978	16824	360
979	16845	343
980	16867	326
981	16883	309
982	16900	292
983	16917	275
984	16933	257
985	16950	240
986	16968	223
987	16986	206
988	17002	189
989	17017	171
990	17033	154
991	17049	137
992	17065	120
993	17081	103
994	17096	85
995	17112	68
996	17128	51
997	17143	34
998	17158	17
999	17175	0
