iter	Logloss
0	0.3250490101
1	0.1810021235
2	0.09424606578
3	0.05637173128
4	0.04114606515
5	0.03864357888
6	0.03689990791
7	0.03210818216
8	0.02948721189
9	0.0289623317
10	0.02859199769
11	0.02830397349
12	0.02532731908
13	0.02515732584
14	0.02501319423
15	0.0248845066
16	0.0247504703
17	0.02443471794
18	0.02430589354
19	0.02421690485
20	0.02413421982
21	0.02277750586
22	0.02271465854
23	0.02265977146
24	0.02254513373
25	0.02248391902
26	0.02179956766
27	0.0217457274
28	0.02168385176
29	0.02162588894
30	0.0212799415
31	0.0212374237
32	0.02119963261
33	0.02115220914
34	0.02110403642
35	0.02102856132
36	0.02100046508
37	0.02095333051
38	0.02091582197
39	0.02062024392
40	0.02058008811
41	0.0205082073
42	0.02047353734
43	0.02044513465
44	0.02040633323
45	0.02037491306
46	0.02035385212
47	0.0203252207
48	0.02029333965
49	0.02027669015
50	0.02023059513
51	0.02018121286
52	0.02014021649
53	0.02009777105
54	0.02006838632
55	0.02004891835
56	0.0200232918
57	0.01999898625
58	0.01997573965
59	0.01994785897
60	0.01990382984
61	0.01986493828
62	0.01984203327
63	0.01981426569
64	0.0197871526
65	0.01976164204
66	0.01972733306
67	0.01971085465
68	0.01968701876
69	0.01966322436
70	0.01964345718
71	0.01961899131
72	0.01958715854
73	0.01956048053
74	0.01954015181
75	0.01951333138
76	0.01948419137
77	0.01946343158
78	0.01943855108
79	0.0194246808
80	0.01940890223
81	0.01939284305
82	0.01937794547
83	0.01936340938
84	0.01934519808
85	0.01932191596
86	0.01930216302
87	0.01924905767
88	0.01923532072
89	0.01920321311
90	0.01918005571
91	0.01915709837
92	0.01914159642
93	0.01912920747
94	0.019111441
95	0.01903859531
96	0.01899090744
97	0.01899085121
98	0.01896045258
99	0.01893973168
100	0.01891581483
101	0.01891087851
102	0.01890989308
103	0.01888986843
104	0.01886159852
105	0.01884684574
106	0.018826254
107	0.01880979866
108	0.0188097803
109	0.01878855307
110	0.01877243306
111	0.01875087282
112	0.01873145113
113	0.01871127191
114	0.01868969427
115	0.01867138459
116	0.01865776483
117	0.0186370308
118	0.01861882555
119	0.01861001111
120	0.01859291528
121	0.01857620894
122	0.01856452023
123	0.01854275072
124	0.01851775356
125	0.01847864582
126	0.01846145299
127	0.0184425517
128	0.01843040882
129	0.01841716799
130	0.01839979164
131	0.01837917977
132	0.01836429608
133	0.01835740628
134	0.01833129736
135	0.01831371832
136	0.01829670498
137	0.0182789173
138	0.01826291876
139	0.01824837115
140	0.01823310793
141	0.01821186218
142	0.01819329888
143	0.01816717928
144	0.01814837497
145	0.01813558126
146	0.01812908975
147	0.01810558411
148	0.01807997494
149	0.01806610908
150	0.01804934689
151	0.01803291566
152	0.01801963736
153	0.01800634463
154	0.01800598273
155	0.0179973868
156	0.01797843532
157	0.01796098612
158	0.0179439409
159	0.01790924535
160	0.0178951314
161	0.01787133337
162	0.01785360834
163	0.01783389228
164	0.01782459878
165	0.01781298531
166	0.01779654226
167	0.01777040019
168	0.01774320374
169	0.01774318284
170	0.0177431715
171	0.01774314871
172	0.01774304293
173	0.01774294296
174	0.01774293312
175	0.0177428752
176	0.01774282793
177	0.01774281181
178	0.01774271126
179	0.01774269499
180	0.01774264876
181	0.01774262562
182	0.01774252422
183	0.01774250422
184	0.0177424471
185	0.01773479155
186	0.01773478842
187	0.01772161102
188	0.01771074891
189	0.0176935936
190	0.01767118064
191	0.01764953428
192	0.01762862393
193	0.01760455736
194	0.01759260003
195	0.01758498317
196	0.01758498317
197	0.01758495442
198	0.01758495442
199	0.01757349008
200	0.01755373612
201	0.01754123504
202	0.0175272896
203	0.01751842244
204	0.01751841423
205	0.01750802002
206	0.01750801604
207	0.01749050281
208	0.01747116681
209	0.01746167954
210	0.0174472883
211	0.01743260142
212	0.01742421678
213	0.01742420479
