column,semantic_group,dtype,non_null_count,non_null_pct,null_pct,nunique,is_binary_like,eligible_mean_ci,eligible_proportion_ci,eligible_group_outcome,eligible_group_var,eligible_categorical_association,eligible_numeric_association,eligible_linear_predictor,model_excluded,skip_reason
flag_evidencia_trazabilidad_suficiente,binary_numeric,int8,429541,100.0,0.0,1,True,False,True,False,False,False,False,False,False,single_level
flag_fechas_temporales_disponibles,binary_numeric,int8,429541,100.0,0.0,2,True,False,True,False,False,False,False,False,False,eligible
flag_hubo_competencia_minima,binary_numeric,int8,429541,100.0,0.0,2,True,False,True,False,False,False,False,False,False,eligible
flag_hubo_participacion,binary_numeric,int8,429541,100.0,0.0,2,True,False,True,False,False,False,False,False,False,eligible
flag_id_proceso_valido,binary_numeric,int8,429541,100.0,0.0,1,True,False,True,False,False,False,False,False,False,single_level
flag_portafolio_disponible,binary_numeric,int8,429541,100.0,0.0,1,True,False,True,False,False,False,False,False,False,single_level
flag_precio_base_extremo,boolean,bool,429541,100.0,0.0,2,True,False,True,False,False,False,False,False,False,eligible
flag_publicacion_antes_recepcion,binary_numeric,int8,429541,100.0,0.0,2,True,False,True,False,False,False,False,False,False,eligible
flag_recepcion_antes_apertura,binary_numeric,int8,429541,100.0,0.0,2,True,False,True,False,False,False,False,False,False,eligible
flag_referencia_valida,binary_numeric,int8,429541,100.0,0.0,2,True,False,True,False,False,False,False,False,False,eligible
flag_tiene_categoria,binary_numeric,int8,429541,100.0,0.0,1,True,False,True,False,False,False,False,False,False,single_level
flag_tiene_descripcion_util,text,int8,429541,100.0,0.0,2,True,False,True,False,False,False,False,False,False,eligible
flag_tiene_precio_base,binary_numeric,int8,429541,100.0,0.0,2,True,False,True,False,False,False,False,False,False,eligible
flag_tiene_tipo_modalidad,binary_numeric,int8,429541,100.0,0.0,2,True,False,True,False,False,False,False,False,False,eligible
flag_tiene_ubicacion_entidad,binary_numeric,int8,429541,100.0,0.0,2,True,False,True,False,False,False,False,False,False,eligible
flag_tiene_url_publica,binary_numeric,int8,429541,100.0,0.0,2,True,False,True,False,False,False,False,False,False,eligible
flag_ventana_apertura_razonable,binary_numeric,int8,429541,100.0,0.0,2,True,False,True,False,False,False,False,False,False,eligible
flag_ventana_recepcion_razonable,binary_numeric,int8,429541,100.0,0.0,2,True,False,True,False,False,False,False,False,False,eligible
fue_duplicado_exacto,boolean,bool,429541,100.0,0.0,2,True,False,True,False,False,False,False,False,False,eligible
fue_duplicado_logico,boolean,bool,429541,100.0,0.0,2,True,False,True,False,False,True,False,True,False,eligible
