year_month,count
2021-04,2699
2021-05,5967
2021-06,7335
2021-07,7214
2021-08,8143
2021-09,9035
2021-10,9217
2021-11,11290
2021-12,10545
2022-01,1078
2022-02,216
2022-03,68
2022-04,13
2022-05,3
2022-06,5
2022-07,4
2022-08,2
2022-09,3
2023-07,1
