modalidad_de_contratacion,alto,bajo,medio
Contratación Directa (con ofertas),0,8430,54
Contratación directa,1193,0,282171
Contratación régimen especial,1624,0,49743
Contratación régimen especial (con ofertas),0,3558,1
Mínima cuantía,0,33858,0
Other,201,7568,383
Selección Abreviada de Menor Cuantía,0,18712,0
Selección abreviada subasta inversa,0,9140,0
Solicitud de información a los Proveedores,11,7560,5334
