departamento_entidad,0,1
Antioquia,9624,41497
Atlántico,1755,10135
Cundinamarca,4863,10182
Distrito Capital de Bogotá,27301,119224
Norte de Santander,2078,8468
Other,28322,82290
Santander,3409,16667
Tolima,2353,8352
Valle del Cauca,7008,38278
