variable,transparency_score,precio_base_log,duracion_dias,total_respuestas,total_interes_oferentes,proveedores_invitados,proveedores_con_invitacion,conteo_de_respuestas_a_ofertas,numero_de_lotes,precio_base,duracion,visualizaciones_del,respuestas_al_procedimiento
transparency_score,1.0,0.23597170868804557,-0.18946925872705778,0.6650524002187138,0.6574876177804763,0.3246105712867485,0.25912757305951795,0.0903209869561994,0.07788255636556482,0.23597170868804557,-0.20464533729336754,0.7924197705110464,0.665306872842391
precio_base_log,0.23597170868804557,1.0,0.34224164685057995,0.1516214834984323,0.15289541000246978,-0.059965724584442985,0.1686417237211829,0.0697833348741537,0.12084576738510824,1.0,0.11210121700001663,0.2727889420630318,0.15122817465404548
duracion_dias,-0.18946925872705778,0.34224164685057995,1.0,-0.1402428995404981,-0.1370625347294522,-0.04876318490483505,0.0017630384252086222,-0.017170397220243837,-0.008493863291595537,0.34224164685057995,0.457803079801628,-0.15652930284411692,-0.14062032082583664
total_respuestas,0.6650524002187138,0.1516214834984323,-0.1402428995404981,1.0,0.9752681066368986,0.42946285681894186,0.39395968642960033,0.13914035393911908,0.06429673229867952,0.1516214834984323,-0.15552473472254277,0.7488351823737649,0.9998851197713091
total_interes_oferentes,0.6574876177804763,0.15289541000246978,-0.1370625347294522,0.9752681066368986,1.0,0.48783791899882073,0.4902421485543517,0.13018631848021978,0.0627022935404653,0.15289541000246978,-0.16389505886363515,0.7562305788626597,0.9761785780368148
proveedores_invitados,0.3246105712867485,-0.059965724584442985,-0.04876318490483505,0.42946285681894186,0.48783791899882073,1.0,0.7256411141371023,-0.013284758501221626,-0.0059117530944844555,-0.059965724584442985,-0.12401735570626034,0.43964872957518925,0.42792836206505186
proveedores_con_invitacion,0.25912757305951795,0.1686417237211829,0.0017630384252086222,0.39395968642960033,0.4902421485543517,0.7256411141371023,1.0,-0.009904673861976583,0.013241382652810016,0.1686417237211829,-0.07409586741872667,0.32891623387378466,0.3921465554796194
conteo_de_respuestas_a_ofertas,0.0903209869561994,0.0697833348741537,-0.017170397220243837,0.13914035393911908,0.13018631848021978,-0.013284758501221626,-0.009904673861976583,1.0,0.05495316654557527,0.0697833348741537,-0.02182348723599058,0.1076492262537617,0.1377885210357044
numero_de_lotes,0.07788255636556482,0.12084576738510824,-0.008493863291595537,0.06429673229867952,0.0627022935404653,-0.0059117530944844555,0.013241382652810016,0.05495316654557527,1.0,0.12084576738510824,-0.022955989909725263,0.10836351153232948,0.06442502173382993
precio_base,0.23597170868804557,1.0,0.34224164685057995,0.1516214834984323,0.15289541000246978,-0.059965724584442985,0.1686417237211829,0.0697833348741537,0.12084576738510824,1.0,0.11210121700001663,0.2727889420630318,0.15122817465404548
duracion,-0.20464533729336754,0.11210121700001663,0.457803079801628,-0.15552473472254277,-0.16389505886363515,-0.12401735570626034,-0.07409586741872667,-0.02182348723599058,-0.022955989909725263,0.11210121700001663,1.0,-0.21252590013930153,-0.15575147098423078
visualizaciones_del,0.7924197705110464,0.2727889420630318,-0.15652930284411692,0.7488351823737649,0.7562305788626597,0.43964872957518925,0.32891623387378466,0.1076492262537617,0.10836351153232948,0.2727889420630318,-0.21252590013930153,1.0,0.7494774207035358
respuestas_al_procedimiento,0.665306872842391,0.15122817465404548,-0.14062032082583664,0.9998851197713091,0.9761785780368148,0.42792836206505186,0.3921465554796194,0.1377885210357044,0.06442502173382993,0.15122817465404548,-0.15575147098423078,0.7494774207035358,1.0
