entidad,nit_entidad,codigo_entidad,departamento_entidad,ciudad_entidad,procesos,completitud_promedio,pct_con_url,pct_con_descripcion,pct_con_precio_base,pct_ids_clave,pct_consistencia_estados,pct_competencia_reportada,pct_trazabilidad_temporal,pct_anomalia_temporal
UNIDAD ADMINISTRATIVA ESPECIAL DE PENSIONES DE CUNDINAMARCA,900594384,701817504,Distrito Capital de Bogotá,No Definido,48,88.9788,100.0,100.0,100.0,100.0,100.0,81.25,4.1667,43.75
SENA-REGIONAL ATLANTICO -CENTRO PARA EL DESARROLLO AGROECOLOGICO Y AGROINDUSTRIAL,899999034,712242312,Atlántico,Sabanalarga,72,87.5901,100.0,100.0,56.9444,100.0,100.0,51.3889,1.3889,43.0556
CENACCALI,800130690,702871120,Valle del Cauca,Cali,132,88.6129,100.0,100.0,56.0606,100.0,100.0,49.2424,6.0606,42.4242
BATALLÓN DE ASPC No. 18 ST. RAFAEL ARAGONA,834000726,702343435,Arauca,Arauca,64,88.383,100.0,100.0,57.8125,100.0,100.0,73.4375,3.125,42.1875
CENTRAL ADMINISTRATIVA Y CONTABLE ESPECIALIZADA CENAC CONVENIOS,900973540,702960055,Distrito Capital de Bogotá,No Definido,84,88.3837,100.0,100.0,58.3333,100.0,100.0,66.6667,1.1905,40.4762
INSTITUTO COLOMBIANO AGROPECUARIO- SECCIONAL CALDAS,899999069,710676123,Caldas,Manizales,20,88.7095,100.0,100.0,100.0,100.0,100.0,90.0,0.0,40.0
CONTRALORIA GENERAL DE LA REPUBLICA -GERENCIA DEPARTAMENTAL VICHADA,899999067,708723408,No Definido,No Definido,5,88.71,100.0,100.0,80.0,100.0,100.0,80.0,0.0,40.0
BATALLON DE APOYO Y SERVICIOS PARA EL COMBATE NO 27,846000064,702995788,Putumayo,No Definido,78,87.8623,100.0,100.0,48.7179,100.0,98.7179,55.1282,1.2821,39.7436
BASPC Nº 19 *,800131272,701538282,Distrito Capital de Bogotá,No Definido,215,87.9826,100.0,100.0,62.7907,100.0,100.0,44.6512,5.5814,39.5349
INSTITUTO COLOMBIANO AGROPECUARIO - SECCIONAL BOYACA,899999069,708916325,Boyacá,Duitama,23,87.6574,100.0,100.0,100.0,100.0,100.0,73.913,0.0,39.1304
CGR GERENCIA DEPARTAMENTAL HUILA,899999067,708597562,Huila,Neiva,18,88.62,100.0,100.0,61.1111,100.0,100.0,77.7778,0.0,38.8889
CENTRAL ADMINISTRATIVA Y CONTABLE-CENAC-POPAYAN*,900156335,702939109,Cauca,Popayán,82,88.4349,100.0,100.0,58.5366,100.0,100.0,51.2195,2.439,37.8049
POLICIA METROPOLITANA DE PEREIRA,900360623,701700098,Risaralda,Pereira,77,88.7727,100.0,100.0,64.9351,100.0,100.0,54.5455,6.4935,37.6623
DEPARTAMENTO DE POLICIA PUTUMAYO,800141203,701706483,Putumayo,No Definido,85,87.9699,100.0,100.0,62.3529,100.0,100.0,64.7059,4.7059,37.6471
SENA REGIONAL SANTANDER Grupo Administrativo CGAO,899999034,704161611,Santander,Vélez,128,87.4504,100.0,100.0,62.5,100.0,100.0,46.875,0.0,37.5
CENTRAL ADMINISTRATIVA Y CONTABLE - CENAC -TUNJA,800130646,702948654,Boyacá,Tunja,48,88.811,100.0,100.0,62.5,100.0,100.0,47.9167,6.25,37.5
Instituto Colombiano Agropecuario - Seccional Casanare,899999069,709095491,Casanare,Yopal,16,88.1044,100.0,100.0,87.5,100.0,100.0,68.75,0.0,37.5
CENAC-VILLAVICENCIO,800130752,702474149,Meta,No Definido,86,88.5977,100.0,100.0,60.4651,100.0,100.0,54.6512,5.814,37.2093
GRUPO DE CABALLERIA MECANIZADO No 18,800130812,702209412,Arauca,Saravena,43,89.0851,100.0,100.0,62.7907,100.0,100.0,55.814,6.9767,37.2093
BATALLON DE APOYO Y SERVICIOS PARA EL COMBATE No. 26,838000326,701589053,Amazonas,Leticia,27,88.8293,100.0,100.0,62.963,100.0,100.0,59.2593,0.0,37.037
CENAC TOLEMAIDA,800131049,702914532,Cundinamarca,Nilo,147,88.8091,100.0,100.0,63.9456,100.0,100.0,61.2245,6.1224,36.7347
EJERCITO NACIONAL - DIRECCIÓN DE ADQUISICIONES,800130632,700391063,Distrito Capital de Bogotá,No Definido,217,88.888,100.0,100.0,68.2028,100.0,100.0,79.7235,0.0,36.4055
CENTRAL ADMINISTRATIVA Y CONTABLE DE CUCUTA,900063431,708598693,Norte de Santander,Cúcuta,69,88.5935,100.0,100.0,63.7681,100.0,100.0,65.2174,8.6957,36.2319
ESM BATALLÓN ASPC NO. 6,901541245,702962226,Tolima,Ibagué,126,88.3391,100.0,100.0,66.6667,100.0,100.0,53.1746,7.9365,35.7143
