Feature,Coefficient
cat__ciudad_de_la_unidad_de_Florencia,-0.550955374068405
cat__codigo_principal_de_categoria_V1.94132000,-0.5485114641443957
cat__nombre_de_la_unidad_de_DIRECCION ADMINISTRATIVA Y FINANCIERA,-0.5441594732594057
cat__codigo_principal_de_categoria_V1.93141702,-0.5439285793553009
cat__nit_entidad_800141397,-0.5429672134012851
cat__entidad_DILOF,-0.5429672134012851
cat__codigo_entidad_700569072,-0.5429672134012851
cat__nombre_de_la_unidad_de_SUBDIRECCION DE CONTRATACIÓN,0.5415221416752146
cat__nit_entidad_8002469532,0.5415221416752146
cat__codigo_entidad_701993388,0.5415221416752146
cat__entidad_FONDO FINANCIERO DISTRITAL DE SALUD..,0.5415221416752146
cat__nombre_de_la_unidad_de_CENTRO DE TECNOLOGÍAS DEL TRANSPORTE D.C,0.539835807309483
cat__ciudad_de_la_unidad_de_Mocoa,-0.5332674025302947
cat__ciudad_de_la_unidad_de_Puerto Salgar,0.5311954428893959
cat__precio_base_es_cero_True,0.5277039299874022
cat__nit_entidad_830039207,-0.5228920304293659
cat__nombre_de_la_unidad_de_UNIDAD DE CONTRATACION CENAC AVIACION,-0.5228920304293659
cat__entidad_CENAC AVIACION,-0.5228920304293659
cat__codigo_entidad_702359944,-0.5228920304293659
cat__codigo_principal_de_categoria_V1.31162800,0.5222583272184409
cat__modalidad_de_contratacion_Solicitud de información a los Proveedores,0.5205800955199007
cat__tipo_de_contrato_No,0.5205800955199007
cat__tiene_urlproceso_True,0.5168722565496956
cat__nit_entidad_900959048,-0.5104772039504416
cat__codigo_entidad_702486788,-0.5104772039504416
cat__entidad_SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,-0.5104772039504416
cat__nombre_de_la_unidad_de_área de sanidad Putumayo,-0.5101086771596072
cat__justificaci_n_modalidad_de_Contratos o convenios Interadministrativos (con valor),-0.5062295203383383
cat__codigo_principal_de_categoria_V1.41116100,-0.5018471600515643
cat__nombre_de_la_unidad_de_UNIDAD DE CONTRATACION CAE***,0.501786540099225
