Feature,Coefficient
"cat__categorias_adicionales_V114111704, V150131704, V150151513, V150161511, V150161814, V150171551, V150192901, V150201706, V150221002, V150221101, V150404500, V150421844, V152121505, V152121508, V152121509, V152121701, V152151704, V152151807, V152152004, V152152101, V153102305, V153131503, V153131604, V153131606, V153131608, V153131615, V156101508",-0.7600077896589578
cat__codigo_principal_de_categoria_V1.81161800,-0.7598622399313913
cat__codigo_principal_de_categoria_V1.41111703,-0.7560811879904789
"cat__categorias_adicionales_V141102404, V141104405",-0.7560707843407513
cat__codigo_principal_de_categoria_V1.46181500,-0.7555834210881948
cat__codigo_principal_de_categoria_V1.51101500,-0.7552418154513126
cat__codigo_principal_de_categoria_V1.46181503,-0.7511254728480422
cat__codigo_principal_de_categoria_V1.53141500,-0.7500332421662359
cat__ciudad_de_la_unidad_de_Soacha,0.7494106630675215
cat__nombre_de_la_unidad_de_UNIDAD DE CONTRATACIÓN COMM,-0.7467852734904896
"cat__categorias_adicionales_V142132201, V146181501",-0.7453472720726314
cat__codigo_principal_de_categoria_V1.44122000,-0.7384748882652676
"cat__entidad_Ministerio de las Culturas, las Artes y los Saberes",0.735938508874509
cat__nit_entidad_830034348,0.735938508874509
cat__codigo_entidad_700637010,0.735938508874509
cat__codigo_principal_de_categoria_V1.72151500,-0.7347384054577047
cat__codigo_principal_de_categoria_V1.32111701,-0.7335801396877258
cat__entidad_ICBF REGIONAL NARIÑO,-0.7313224865664048
cat__nombre_de_la_unidad_de_ICBF REGIONAL NARIÑO,-0.7313224865664048
cat__codigo_entidad_704150028,-0.7313224865664048
cat__codigo_principal_de_categoria_V1.86111600,-0.7260755169338822
cat__codigo_principal_de_categoria_V1.93141702,-0.7259081677054319
cat__nombre_de_la_unidad_de_Secretaría de Cultura,-0.7249093779501069
cat__codigo_principal_de_categoria_V1.23242300,-0.722873356173015
"cat__categorias_adicionales_V126111701, V131201516, V142192207",-0.720788327425011
cat__ciudad_de_la_unidad_de_Florencia,-0.7200368310120754
cat__codigo_principal_de_categoria_V1.39121700,-0.7191297586392599
cat__codigo_principal_de_categoria_V1.80141607,0.7189778191297317
cat__codigo_principal_de_categoria_V1.42151909,-0.7163038586603313
cat__ciudad_de_la_unidad_de_Mocoa,-0.7159829491980422
cat__codigo_principal_de_categoria_V1.23242302,-0.7157521820901016
cat__codigo_principal_de_categoria_V1.78181500,0.7152968988510178
cat__justificaci_n_modalidad_de_Servicios profesionales y apoyo a la gestión,0.7057033992504744
cat__codigo_principal_de_categoria_V1.84131500,0.7038670056132796
cat__ciudad_entidad___missing__,-0.7004712061617789
cat__ausencia_geografica_True,-0.7004712061617789
num__missingindicator_dias_publicacion_a_apertura,0.6952978243834447
num__missingindicator_dias_recepcion_a_apertura,0.6952978243834447
cat__codigo_principal_de_categoria_V1.83101808,-0.6944462602697082
"cat__categorias_adicionales_V183101901, V183101902",-0.6944393738624611
cat__codigo_principal_de_categoria_V1.27111500,-0.6906097580788932
cat__entidad_INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES,0.6874971726343709
cat__codigo_entidad_701870321,0.6874971726343709
cat__nit_entidad_800150861,0.6874971726343709
cat__entidad_SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE CULTURA,-0.6844300192299112
cat__codigo_entidad_702384207,-0.6844300192299112
cat__categorias_adicionales_V139121000,-0.6842563312025954
cat__nombre_de_la_unidad_de_área de sanidad Putumayo,-0.6836096565901303
cat__tipo_de_contrato_Otro,-0.6823742099278569
cat__nombre_de_la_unidad_de_SUBDIRECCIÓN DE GESTIÓN CONTRACTUAL,-0.6772803423282469
cat__nit_entidad_800152783,-0.6768691815524734
cat__entidad_FISCALÍA GENERAL DE LA NACIÓN NIVEL CENTRAL.,-0.6768691815524734
cat__codigo_entidad_702019308,-0.6768691815524734
cat__codigo_principal_de_categoria_V1.81141601,0.6757133538687802
cat__codigo_principal_de_categoria_V1.24121802,-0.6743499980062552
cat__codigo_principal_de_categoria_V1.82121503,0.6717161925108468
cat__categorias_adicionales_V146191601,0.6706683606452348
cat__codigo_principal_de_categoria_V1.90101802,-0.6643510697635169
cat__nombre_de_la_unidad_de_CACOM-1,0.6631115770932785
cat__codigo_entidad_701821332,0.6631115770932785
cat__nit_entidad_800141624,0.6631115770932785
cat__entidad_COMANDO AÉREO DE COMBATE No. 1,0.6631115770932785
cat__nit_entidad_800141203,-0.6621105319673062
cat__entidad_DEPARTAMENTO DE POLICIA PUTUMAYO,-0.6621105319673062
cat__codigo_entidad_701706483,-0.6621105319673062
cat__codigo_principal_de_categoria_V1.81112101,-0.6606668007654279
cat__entidad_CENTRAL ADMINISTRATIVA Y CONTABLE ESPECIALIZADA INTELIGENCIA,-0.6604369033567676
cat__nit_entidad_800131292,-0.6604369033567676
cat__nombre_de_la_unidad_de_CENTRAL ADMINISTRATIVA Y CONTABLE ESPECIALIZADA CENAC INTELIGENCIA,-0.6604369033567676
cat__codigo_entidad_702723842,-0.6604369033567676
cat__tipo_de_contrato_Prestación de servicios,0.659969978610184
cat__codigo_principal_de_categoria_V1.77121500,-0.6581387162585468
cat__codigo_principal_de_categoria_V1.56112104,0.6562929846718055
cat__nombre_de_la_unidad_de_UNIDAD DE CONTRATACIÓN II- DIRECCIÓN,0.651112550961118
cat__codigo_principal_de_categoria_V1.82111801,-0.6494897840735867
"cat__categorias_adicionales_V181112100, V183121703",-0.6457227195341253
"cat__categorias_adicionales_V180141607, V180141902, V182101501, V182101502, V182101503, V182101504, V182101505, V182101506, V182101507, V182101508, V182101802",-0.6447353595152059
cat__nombre_de_la_unidad_de_SECRETARIA JURIDICA,-0.6439613265791629
cat__codigo_principal_de_categoria_V1.72101506,-0.6413906519744456
cat__codigo_entidad_702312703,-0.639350563355899
cat__entidad_UNIDAD ADMINISTRATIVA ESPECIAL CUERPO OFICIAL DE BOMBEROS DE BOGOTA,-0.639350563355899
"cat__categorias_adicionales_V186101700, V186141700",-0.6379428329908285
cat__codigo_principal_de_categoria_V1.73152100,0.6351957201454342
cat__nombre_de_la_unidad_de_ICBF REGIONAL HUILA,-0.6299609168955205
cat__entidad_ICBF REGIONAL HUILA,-0.6299609168955205
cat__codigo_entidad_704150309,-0.6299609168955205
cat__codigo_principal_de_categoria_V1.12141900,-0.6293009518615597
"cat__categorias_adicionales_V112141903, V112141904",-0.629235138724031
cat__codigo_principal_de_categoria_V1.44103100,-0.6289472899622157
cat__codigo_principal_de_categoria_V1.82121500,-0.6281733604350257
cat__codigo_principal_de_categoria_V1.91111502,0.6248099659504435
cat__codigo_principal_de_categoria_V1.31151500,0.6245884843767294
cat__codigo_principal_de_categoria_V1.43233700,-0.6217040398160926
"cat__categorias_adicionales_V125101600, V178102100, V183101500",-0.6169092621207556
cat__codigo_principal_de_categoria_V1.78101800,-0.6143951440149374
cat__codigo_principal_de_categoria_V1.43201800,-0.6104789127916458
cat__nombre_de_la_unidad_de_SECRETARÍA SUMINISTROS Y SERVICIOS,-0.6096987914843842
cat__nombre_de_la_unidad_de_OFICINA JURÍDICA,-0.6021324757749821
cat__nit_entidad_901362454,-0.5962768570305341
cat__codigo_entidad_708942131,-0.5962768570305341
cat__entidad_UNIDAD PRESTADORA DE SALUD HUILA,-0.5962768570305341
cat__nombre_de_la_unidad_de_GRUPO DE CONTRATACION UPRES No. 2,-0.5962566362843424
cat__codigo_principal_de_categoria_V1.72101500,-0.5944980638151608
cat__codigo_entidad_702475013,-0.5858147406147413
cat__nit_entidad_890981105,-0.5858147406147413
cat__ciudad_entidad_Pueblorrico,-0.5858147406147413
cat__entidad_MUNICIPIO DE PUEBLORRICO,-0.5858147406147413
cat__ciudad_de_la_unidad_de_Pueblorrico,-0.5858147406147413
cat__nombre_de_la_unidad_de_SECRETARIA DE GOBIERNO,-0.5835981225642503
cat__codigo_entidad_702958711,-0.5833849228558111
cat__entidad_DISAN-DMSOC,-0.5833849228558111
cat__nombre_de_la_unidad_de_CONTRATACIÓN DMSOC 2026,-0.5833849228558111
"cat__categorias_adicionales_V114111500, V114121812, V144111515, V144122003, V144122011",-0.5809415479383212
cat__ciudad_de_la_unidad_de_Pitalito,-0.5807562156695663
cat__departamento_entidad_Cesar,-0.5807042133938604
cat__codigo_principal_de_categoria_V1.93141506,0.5806682684231561
cat__codigo_principal_de_categoria_V1.43211900,-0.5780640626936506
"cat__categorias_adicionales_V186131500, V186131600, V193141500, V193141600",-0.578046969046602
cat__nombre_de_la_unidad_de_GILBERTO ACOSTA GUTIERREZ,0.5770977631465596
cat__codigo_principal_de_categoria_V1.44121506,-0.5754406242224214
cat__nit_entidad_899999069,0.5745766083883712
cat__entidad_ICBF REGIONAL CALDAS,-0.5733931669009211
cat__codigo_entidad_704141977,-0.5733931669009211
cat__nombre_de_la_unidad_de_ICBF REGIONAL CALDAS,-0.5733931669009211
cat__codigo_principal_de_categoria_V1.72101511,0.5732015638792599
cat__ciudad_de_la_unidad_de_Chinchiná,-0.573071824949808
cat__codigo_principal_de_categoria_V1.80101500,0.5729437575945117
cat__nombre_de_la_unidad_de_UNIDAD DE CONTRATACIÓN I- DIRECCIÓN,0.5698684999330722
cat__codigo_principal_de_categoria_V1.42295007,-0.5693500217906191
cat__codigo_principal_de_categoria_V1.81131500,-0.5661520039543215
cat__nombre_de_la_unidad_de_UNIDAD DE CONTRATACION CESGE,-0.5643715615072263
cat__codigo_entidad_702234303,-0.5634366089388233
cat__entidad_ALCALDIA LOCAL DE USME,-0.5634366089388233
cat__codigo_principal_de_categoria_V1.72154000,-0.5627727816216466
cat__codigo_principal_de_categoria_V1.46182314,-0.5625008701263642
"cat__categorias_adicionales_V146181516, V146181537, V146181540, V146181601, V146181604, V146181703, V146181704, V146181901, V146182002, V146182005, V146182306",-0.5624722995685283
cat__nombre_de_la_unidad_de_SECRETARIA GENERAL,0.5544499168254693
cat__codigo_entidad_702095092,0.5530225819389007
cat__entidad_ALCALDIA LOCAL DE CIUDAD BOLIVAR //,0.5530225819389007
cat__nombre_de_la_unidad_de_CENTRO DE COMERCIO INDUSTRIA Y TURISMO DE CORDOBA,0.5490680562864512
cat__nombre_de_la_unidad_de_UNIDAD DE CONTRATACION CENAC AVIACION,-0.5489689710232714
cat__entidad_CENAC AVIACION,-0.5489689710232714
cat__nit_entidad_830039207,-0.5489689710232714
cat__codigo_entidad_702359944,-0.5489689710232714
cat__nombre_de_la_unidad_de_CENTRO METALMECANICO D.C,0.5482825014582319
cat__codigo_principal_de_categoria_V1.43211507,-0.5469965063300768
cat__nombre_de_la_unidad_de_UNIDAD DE CONTRATACIÓN CBC,-0.5361856587413897
cat__justificaci_n_modalidad_de_Regla aplicable,0.5353888144114618
cat__codigo_principal_de_categoria_V1.72154100,0.5307517203181338
cat__codigo_entidad_702486788,-0.5273741591358767
cat__entidad_SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,-0.5273741591358767
cat__nit_entidad_900959048,-0.5273741591358767
cat__codigo_principal_de_categoria_V1.43223300,0.5244814594865516
