column,n_used,estimate,standard_error,confidence_level,ci_lower,ci_upper,sampling_applied
conteo_de_respuestas_a_ofertas,429541,0.009091099569074897,0.0004390710038099625,0.95,0.008230533790035575,0.009951665348114218,False
duracion,429541,502.8878966152242,166.56589641735476,0.95,176.42381866890588,829.3519745615424,False
duracion_dias,428958,575.4946973246797,166.792156278277,0.95,248.58715569824233,902.402238951117,False
intensidad_competencia_log,429541,0.270202448756765,0.0010873582723762583,0.95,0.26807125969931744,0.2723336378142126,False
margin_to_threshold,429541,0.1037770165750851,0.00011922752710351894,0.95,0.10354333425752268,0.10401069889264752,False
numero_de_lotes,429541,0.07652121683378303,0.0015278233571615898,0.95,0.07352672964109358,0.07951570402647248,False
precio_base,429539,403548398.1968529,38822534.67412581,0.95,327457414.03562456,479639382.3580813,False
precio_base_log,429539,16.035714727666917,0.005901649276431587,0.95,16.024147675041746,16.04728178029209,False
proveedores_con_invitacion,429541,0.2756756630915326,0.006075278475579005,0.95,0.26376830253059624,0.2875830236524689,False
proveedores_invitados,429541,24.46342723977455,0.33470495925499116,0.95,23.807415725668136,25.119438753880964,False
proveedores_unicos_con,429541,0.49713764227396223,0.004830853911226952,0.95,0.48766931591338225,0.5066059686345422,False
respuestas_al_procedimiento,429541,0.5119976905580608,0.004899582639572123,0.95,0.5023946579856438,0.5216007231304778,False
respuestas_externas,429541,0.005766620648552758,0.00020232402734424895,0.95,0.005370071724349064,0.006163169572756451,False
score_competencia,429541,0.2862503764945327,0.0003370749830154567,0.95,0.285589719806124,0.2869110331829414,False
score_completitud,429541,0.9551884453404913,0.00012783483352633518,0.95,0.9549378929647996,0.955438997716183,False
score_temporal,429541,0.1917765708046496,0.000576117126996813,0.95,0.19064739880306034,0.19290574280623887,False
total_interes_oferentes,429541,0.7728133053654948,0.008404622442439214,0.95,0.7563405016573284,0.7892861090736611,False
total_respuestas,429541,0.5268554107756884,0.0050143461973394645,0.95,0.5170274451294897,0.5366833764218871,False
transparency_score,429541,0.6408916077719417,0.00019772360481839837,0.95,0.6405040755356096,0.6412791400082737,False
visualizaciones_del,429541,6.261751497528757,0.04008750404018251,0.95,6.183181211983294,6.34032178307422,False
